county,precinct,office,district,candidate,party,votes,election_day,mail,early_voting,provisional,emergency,federal
Gloucester,Woolwich Township - District 7,COUNTY COMMISSIONER,,DON HEVERLY,,433,,,,,,
Gloucester,Woolwich Township - District 7,COUNTY COMMISSIONER,,Write-ins,,3,,,,,,
Gloucester,Woolwich Township - District 7,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,CRAIG FREDERICK,,410,,,,,,
Gloucester,Woolwich Township - District 7,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,CINDY MINHAS,,396,,,,,,
Gloucester,Woolwich Township - District 7,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,JACK JOKINEN,,424,,,,,,
Gloucester,Woolwich Township - District 7,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,YUSUF FLUELLEN,,420,,,,,,
Gloucester,Woolwich Township - District 7,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,Write-ins,,2,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - KINGSWAY-WOOLWICH - 3YR TERM,,MICHELE BLAIR,,459,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - KINGSWAY-WOOLWICH - 3YR TERM,,MARILYN O'ROURKE-YOUNG,,492,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - KINGSWAY-WOOLWICH - 3YR TERM,,Write-ins,,15,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,LAURIE CECALA-READ,,459,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,ERIN CARROLL,,468,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,GINA M. AZZARI,,484,,,,,,
Gloucester,Woolwich Township - District 7,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,Write-ins,,17,,,,,,
Gloucester,Woolwich Township - District 8,Registered Voters,,,,1966,,,,,,
Gloucester,Woolwich Township - District 8,Ballots Cast,,,,1525,802,296,410,17,0,0
Gloucester,Woolwich Township - District 8,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,President,,DONALD J. TRUMP,,707,,,,,,
Gloucester,Woolwich Township - District 8,President,,KAMALA D. HARRIS,,792,,,,,,
Gloucester,Woolwich Township - District 8,President,,ROBERT F. KENNEDY JR.,,8,,,,,,
Gloucester,Woolwich Township - District 8,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,RANDALL A. TERRY,,2,,,,,,
Gloucester,Woolwich Township - District 8,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,JILL STEIN,,5,,,,,,
Gloucester,Woolwich Township - District 8,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Woolwich Township - District 8,President,,Write-ins,,4,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,CURTIS BASHAW,,688,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,ANDY KIM,,779,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,CHRISTINA KHALIL,,5,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,KENNETH R. KAPLAN,,3,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,2,JEFF VAN DREW,,706,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,2,JOSEPH F. SALERNO,,765,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,2,THOMAS CANNAVO,,5,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Woolwich Township - District 8,SHERIFF,,JONATHAN M. SAMMONS,,731,,,,,,
Gloucester,Woolwich Township - District 8,SHERIFF,,CARMEL MORINA,,733,,,,,,
Gloucester,Woolwich Township - District 8,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,727,,,,,,
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,709,,,,,,
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,TOM BIANCO,,743,,,,,,
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,DON HEVERLY,,724,,,,,,
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,CRAIG FREDERICK,,786,,,,,,
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,CINDY MINHAS,,781,,,,,,
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,JACK JOKINEN,,698,,,,,,
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,YUSUF FLUELLEN,,653,,,,,,
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - WOOLWICH TOWNSHIP,,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - KINGSWAY-WOOLWICH - 3YR TERM,,MICHELE BLAIR,,882,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - KINGSWAY-WOOLWICH - 3YR TERM,,MARILYN O'ROURKE-YOUNG,,909,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - KINGSWAY-WOOLWICH - 3YR TERM,,Write-ins,,14,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,LAURIE CECALA-READ,,865,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,ERIN CARROLL,,880,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,GINA M. AZZARI,,888,,,,,,
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - SWEDESBORO-WOOLWICH - 3YR TERM,,Write-ins,,19,,,,,,
Gloucester,Woolwich Township - District 8,Registered Voters,,,,0,,,,,,
Gloucester,Woolwich Township - District 8,Ballots Cast,,,,110,0,0,0,0,0,110
Gloucester,Woolwich Township - District 8,Ballots Cast - Blank,,,,1,0,0,0,0,0,1
Gloucester,Woolwich Township - District 8,President,,DONALD J. TRUMP,,14,,,,,,
Gloucester,Woolwich Township - District 8,President,,KAMALA D. HARRIS,,95,,,,,,
Gloucester,Woolwich Township - District 8,President,,ROBERT F. KENNEDY JR.,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,JILL STEIN,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,CHASE OLIVER,,0,,,,,,
Gloucester,Woolwich Township - District 8,President,,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,CURTIS BASHAW,,13,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,ANDY KIM,,84,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,CHRISTINA KHALIL,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,KENNETH R. KAPLAN,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,12,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,1,DONALD NORCROSS,,86,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,1,ROBIN BROWNFIELD,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,1,AUSTIN JOHNSON,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,1,Write-ins,,0,,,,,,
Gloucester,Woolwich Township - District 8,U.S. House,2,JEFF VAN DREW,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,U.S. House,2,JOSEPH F. SALERNO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,U.S. House,2,THOMAS CANNAVO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,U.S. House,2,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,SHERIFF,,JONATHAN M. SAMMONS,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,SHERIFF,,CARMEL MORINA,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,SHERIFF,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,TOM BIANCO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,DON HEVERLY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNTY COMMISSIONER,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF CLAYTON,,FRANK ROLLO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF CLAYTON,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ROBIN L. ROCHE,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,ALLAN PAUL CONNELL,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,NO PETITION FILED,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLAYTON - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - EAST GREENWICH TOWNSHIP,,MICHAEL QUIGLEY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - EAST GREENWICH TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - KINGSWAY-EAST GREENWICH - 3YR TERM,,APRYL PALAZZO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - KINGSWAY-EAST GREENWICH - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCUATION - EAST GREENWICH - 3YR TERM,,JEFF FLYNN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCUATION - EAST GREENWICH - 3YR TERM,,LORI BECKER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCUATION - EAST GREENWICH - 3YR TERM,,ANAND A. ACHARYA,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCUATION - EAST GREENWICH - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCUATION - EAST GREENWICH - UNEXP 2YR TERM,,NO PETITION FILED,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCUATION - EAST GREENWICH - UNEXP 2YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - ELK TOWNSHIP,,CHRISTINE COWAN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - ELK TOWNSHIP,,ANTONIO CAMMARATA,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - ELK TOWNSHIP,,DARLEMA D. BEY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - ELK TOWNSHIP,,WAYNE SWANSON,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - ELK TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DELSEA REG - ELK - 3YR TERM,,"GARRY L. LIGHTFOOT, JR.",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DELSEA REG - ELK - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - ELK - 3YR TERM,,"J. WILSON HUGHES, JR.",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - ELK - 3YR TERM,,COLLEEN BARBARO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - ELK - 3YR TERM,,NO PETITION FILED,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - ELK - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - FRANKLIN TOWNSHIP,,"JOHN ""JAKE"" BRUNO",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - FRANKLIN TOWNSHIP,,MARIO CHRISTINA,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - FRANKLIN TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DELSEA REG - FRANKLIN - 3YR TERM,,DAVID DEMPSEY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DELSEA REG - FRANKLIN - 3YR TERM,,"JOSEPH T. DARMINIO, SR.",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - DELSEA REG - FRANKLIN - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - FRANKLIN - 3YR TERM,,MARY PETSCH WILSON,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - FRANKLIN - 3YR TERM,,LACEY GIBERSON-BROWN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - FRANKLIN - 3YR TERM,,MICHELE CUNNINGHAM,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - FRANKLIN - 3YR TERM,,BARBARA CIANCAGLINI,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - FRANKLIN - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF GLASSBORO,,DANIELLE MAZZA-DIVENTI,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF GLASSBORO,,MICHAEL OSCAR,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF GLASSBORO,,ANNA MILLER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF GLASSBORO,,ANDREW HALTER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - BOROUGH OF GLASSBORO,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOROUGH OF GLASSBORO BALLOT QUESTION 1,,YES,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOROUGH OF GLASSBORO BALLOT QUESTION 1,,NO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOROUGH OF GLASSBORO BALLOT QUESTION 2,,YES,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOROUGH OF GLASSBORO BALLOT QUESTION 2,,NO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,ANDY SAVICKY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,LORI DEMPSTER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,KATHLEEN FRANGOS,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,RYAN C. HUGHES,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,STEPHEN KUDLESS,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,MARY CEDRONE,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,ANTOINE SABB,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,NATASHA BRIGGS,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GLASSBORO - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - GREENWICH TOWNSHIP,,LEIGH GARRISON,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - GREENWICH TOWNSHIP,,WANDA TRANQUILLO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - GREENWICH TOWNSHIP,,LEE CAMPBELL,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - GREENWICH TOWNSHIP,,LANI C. COLE,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - GREENWICH TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,"JOHN T. GOETASKI, III",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,MEGHANN S. MYERS,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,ANDREW CHAPKOWSKI,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,MICHAEL HASENPAT,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - UNEXP 1YR TERM,,NO PETITION FILED,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - GREENWICH - UNEXP 1YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,ADAM WINGATE,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,THOMAS COAKLEY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,SCOTT MUSCARELLA,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,FENU CHERIAN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,COLLEEN KENDRICK,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ERIC KELLER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,TRISHA DELLOIACONO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,STACEY MUSCARELLA,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ALEXIS RUBINO-OFCHINICK,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,JOHN CAVANAUGH,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,TIM BAST,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - LOGAN TOWNSHIP,,"EDWARD DURR, III",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - LOGAN TOWNSHIP,,BERNADINE JACKSON,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - LOGAN TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - LOGAN - 3YR TERM,,CAROLYN KEGLER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - LOGAN - 3YR TERM,,KRISTEN LOMBARDO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - LOGAN - 3YR TERM,,STEPHEN ASAY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - LOGAN - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - MANTUA TOWNSHIP,,COURTNEY BRACKEN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - MANTUA TOWNSHIP,,KRISTIN GOSCHLER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - MANTUA TOWNSHIP,,ROBERT T. ZIMMERMAN,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - MANTUA TOWNSHIP,,JASON SNYDER,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,TOWNSHIP COMMITTEE - MANTUA TOWNSHIP,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLEARVIEW REG - MANTUA - 3YR TERM,,SEAN M. SEPSEY,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - CLEARVIEW REG - MANTUA - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - 3YR TERM,,TYLER GRANT,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - 3YR TERM,,STEPHANIE DIANTONIO,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - 3YR TERM,,"JOHN ""JACK"" STEEN",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - 3YR TERM,,MICHELE LEACH,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - 3YR TERM,,KAREN VICK,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - UNEXP 1YR TERM,,NO PETITION FILED,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF EDUCATION - MANTUA - UNEXP 1YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF FIRE COMMISSIONERS - MANTUA FIRE - 3YR TERM,,CHARLES M. JONES,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF FIRE COMMISSIONERS - MANTUA FIRE - 3YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF FIRE COMMISSIONERS - MANTUA FIRE - UNEXP 2YR TERM,,MICHAEL S. RIGGS,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,BOARD OF FIRE COMMISSIONERS - MANTUA FIRE - UNEXP 2YR TERM,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - MONROE TOWNSHIP - WARD 1,,ZACHARY TAGLIOLI,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - MONROE TOWNSHIP - WARD 1,,"ALBERT ""AL"" ROSSI",,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - MONROE TOWNSHIP - WARD 1,,Write-ins,,0,0,0,0,0,0,0
Gloucester,Woolwich Township - District 8,COUNCIL - MONROE TOWNSHIP - WARD 2,,ANTHONY L. BUNDI,,0,0,0,0,0,0,0
